type	race	ind	gerpa	gerpr
LR	BU	LR.BU.07	1784.31433201206	543.649917336649
LR	BU	LR.BU.08	1849.80579796903	665.270139396726
LR	BU	LR.BU.09	1898.7130603149	610.276225198205
LR	BU	LR.BU.10	1821.94470729147	542.19857133088
LR	BU	LR.BU.11	1826.33168626076	627.422375927694
LR	BU	LR.BU.12	1833.16367685766	625.395079302994
LR	BU	LR.BU.13	1816.40106466413	527.237999087374
LR	BU	LR.BU.14	1843.61400118466	611.544825749619
LR	BU	LR.BU.15	1844.18271577004	663.661725234999
LR	BU	LR.BU.16	1835.65601233914	607.137327240912
LR	BU	LR.BU.17	1827.88807261384	544.8206694022
LR	BU	LR.BU.18	1829.15689032652	590.333069535858
LR	BU	LR.BU.19	1853.43835755303	583.483482591997
LR	BU	LR.BU.20	1839.25466479975	545.135039938393
LR	BU	LR.BU.21	1786.05922812604	532.35818066004
LR	BU	LR.BU.22	1776.25733957012	571.795718235128
LR	BU	LR.BU.01	1882.3705453367	623.046245733155
LR	BU	LR.BU.02	1950.63982510279	719.040136874956
LR	BU	LR.BU.03	1891.97415312666	642.241141873637
LR	BU	LR.BU.04	1919.8069649823	641.702514199812
LR	BU	LR.BU.05	1888.21592427566	623.897456707085
LR	BU	LR.BU.06	1894.78343748416	577.158583589393
LR	BU	LR.BU.07	1874.54149793438	675.640794414268
LR	BU	LR.BU.08	1894.1219632957	685.450192806022
LR	BU	LR.BU.09	1886.49649794234	618.954721057972
LR	BU	LR.BU.10	1889.69395482806	625.802024179325
LR	BU	LR.BU.11	1932.59443293848	615.530476186533
LR	BU	LR.BU.12	1853.43644296685	699.477371936983
LR	BU	LR.BU.13	1892.89372499245	636.354708901863
LR	BU	LR.BU.14	1896.47671453106	586.501537443195
LR	BU	LR.BU.15	1900.98442406925	660.671829444914
LR	BU	LR.BU.16	1887.95457534218	583.515377255147
LR	BU	LR.BU.17	1876.76949837298	624.085261868862
LR	BU	LR.BU.18	1889.6517320534	619.071435016159
LR	BU	LR.BU.19	1921.20712934221	644.725794908247
LR	BU	LR.BU.20	1884.4087099883	560.131913657765
LR	BU	LR.BU.21	1893.50337065548	648.31107852885
LR	BU	LR.BU.22	1865.27486139659	634.435590380278
LR	BU	LR.BU.01	1374.4084523044	389.188086338873
LR	BU	LR.BU.02	1359.04693050913	435.940330431088
LR	BU	LR.BU.03	1343.49081220886	399.358983158465
LR	BU	LR.BU.04	1319.4358013539	467.800604245493
LR	BU	LR.BU.05	1359.38624767743	464.574899747208
LR	BU	LR.BU.06	1355.05855852772	418.280060560566
LR	BU	LR.BU.07	1335.80842972236	414.079551975158
LR	BU	LR.BU.08	1297.77165045667	476.356628543346
LR	BU	LR.BU.09	1354.49376382934	436.820465053373
LR	BU	LR.BU.10	1332.48302325469	423.123958562232
LR	BU	LR.BU.11	1349.49473252166	406.469328974548
LR	BU	LR.BU.12	1336.91417452323	415.362977701974
LR	BU	LR.BU.13	1275.47187119527	480.808046473607
LR	BU	LR.BU.14	1352.12688621624	416.028769257291
